source_platform,source_tag,rank,wallet,pnl_usd,source_url,note
pumpfun,gmgn_launchpad_smart,134,7EmUSAXbyXoGpqLPpurkQ97S4ovMdkbjyYPrKtJHtkqa,47433.27875565216,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=5400
pumpfun,gmgn_launchpad_smart,135,EBx24uAPtaS1SvHwRhKEktSgzaXdiVEyHuSVpAMVwrcD,47225.11633245556,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=2654
pumpfun,gmgn_launchpad_smart,136,GmmVt4Xac82u2hbhFacQpZEG2prjiVbgLSshdKS9p5Ye,44871.30651751952,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=5179
pumpfun,pumpfun_pnl_leaderboard,137,pXGQ6J2ziRCvmYSLTT55FASf2jSHeCD6gju5xka31yV,43799.97615151851,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=weekly,pump.fun public PnL leaderboard 7d (on-site rank 66 is by net pnlUsd=43635.66514511737; stored value is realizedPnlUsd). username=daddychilllll
pumpfun,pumpfun_pnl_leaderboard,138,5hh7UE6i2BtyCvaMMadS71wFwK88JRmtRTfXkjZ3CHvF,43698.7878376332,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 31 is by net pnlUsd=363660.41581524286; stored value is realizedPnlUsd). username=curb1
pumpfun,pumpfun_pnl_leaderboard,139,5pUgxQGgX36GyV5BdsBNRAw9JxJ6Br4UVddJmJ3sumhc,43027.676389253225,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=weekly,pump.fun public PnL leaderboard 7d (on-site rank 67 is by net pnlUsd=42320.12646277542; stored value is realizedPnlUsd). username=jamal
pumpfun,pumpfun_pnl_leaderboard,140,EGB6v3y5oS7Whv4KHYp8ksL2wRfqdfAF5Dbqq8kHXsZH,42006.98640133699,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 71 is by net pnlUsd=159152.1621053628; stored value is realizedPnlUsd). username=CyrusAbrahim
pumpfun,gmgn_launchpad_smart,141,2HcFC8Ny4nPC4jn4uBRsZTKkxQrKFh7QbgRb4QbKUbY6,41619.85460463932,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=5567
pumpfun,pumpfun_pnl_leaderboard,142,CKB1XYgbEmfEE3FJev7gFwEVtoqEvmsX6GhnbuFvuN5d,41019.6949063322,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=weekly,pump.fun public PnL leaderboard 7d (on-site rank 69 is by net pnlUsd=41019.07439704032; stored value is realizedPnlUsd). username=Dolo
pumpfun,gmgn_launchpad_smart,143,AKy8XbgxizDq9AaAYzvwBkeo2pkU8h8NsFWoUx9kjguh,40903.08736838094,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=8315
pumpfun,gmgn_launchpad_smart,144,ARhYRRRsMRxcyzg1DNDkUjkpkGWUU9SCPGaZbPQJTUBo,40252.40554272081,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=9299
pumpfun,gmgn_launchpad_smart,145,DMy6J8XXnqg4ZnMfAAc5DNgtVmcbjtXSQidANynigkkD,39390.21379567133,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=8335
pumpfun,pumpfun_pnl_leaderboard,146,2CFywHXDPjDK2iRQsb95vnjgncDUZeQKJ6MceJ4ALpdc,39313.725565985544,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=weekly,pump.fun public PnL leaderboard 7d (on-site rank 71 is by net pnlUsd=39379.278194318846; stored value is realizedPnlUsd). username=otsu
pumpfun,pumpfun_pnl_leaderboard,147,49fAsUF3Nk8qbfpSrQND2sULKXanemwibYLGk5Jpn9bY,38845.78433945674,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=weekly,pump.fun public PnL leaderboard 7d (on-site rank 74 is by net pnlUsd=38844.0987594015; stored value is realizedPnlUsd). username=Agent69420
pumpfun,pumpfun_pnl_leaderboard,148,41xvyT53tY5RWGw5yM1Wb8fs3YkD6chusmXprMvKs2P2,38698.66442937235,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=weekly,pump.fun public PnL leaderboard 7d (on-site rank 87 is by net pnlUsd=34750.23653830631; stored value is realizedPnlUsd). username=croccapital
pumpfun,gmgn_launchpad_smart,149,3JD7zrZVXfGozgaSrnn3GzAcGsHCM5ATazX8EqwJqZWY,38409.832515915805,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=6507
pumpfun,gmgn_launchpad_smart,150,CvhUR9GTbMFKFR6Cx24NiDgNcCncyTUGauhq9SWkBYuU,38197.74360486848,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=5469
pumpfun,gmgn_launchpad_smart,151,8NVkytV1CtoNBXGFtwXwh4KQdbgVcA6hFmym1gMuRHru,37750.7180693348,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=8007
